sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.58,-14.121,123.5467277,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.10694444444444784,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.6,-14.121,123.5467277,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.08694444444444471,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.63,-14.121,123.5467277,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.05694444444444713,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.69,-14.121,123.5467277,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,0.003055555555555145,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.74,-14.121,123.5467277,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,0.0530555555555523,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.82,-14.121,123.5467277,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,0.13305555555555415,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.62,-14.121,123.5467277,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.06694444444444514,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.51,-14.121,123.5467277,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.17694444444444457,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.47,-14.121,123.5467277,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,-0.21694444444444727,0,0,29.686944444444446,1985_to_1990,0,0,1,0
29.82,-14.121,123.5467277,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,29.619999337941408,2019-01-01,0.13305555555555415,0,0,29.686944444444446,1985_to_1990,0,0,1,0
