sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,DHW_value,dhw_threshold,accum_DHW_12weeks
29.69,-13.9851,121.8769,1985-01-06,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.7498428059395827,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.75,-13.9851,121.8769,1985-01-07,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.8098428059395815,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.66,-13.9851,121.8769,1985-01-08,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.7198428059395816,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.73,-13.9851,121.8769,1985-01-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.7898428059395819,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
30.03,-13.9851,121.8769,1985-01-10,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,1.0898428059395826,0,0,1990,28.94015719406042,1985_to_1990,1.0898428059395826,0.15569182941994036,1,0
30.2,-13.9851,121.8769,1985-01-11,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,1.2598428059395808,0,0,1990,28.94015719406042,1985_to_1990,1.2598428059395808,0.17997754370565439,1,0
29.62,-13.9851,121.8769,1985-01-12,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.6798428059395825,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.15,-13.9851,121.8769,1985-01-13,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.20984280593958005,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.35,-13.9851,121.8769,1985-01-14,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.4098428059395829,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.89,-13.9851,121.8769,1985-01-15,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.949842805939582,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.91,-13.9851,121.8769,1985-01-16,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.9698428059395816,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.92,-13.9851,121.8769,1985-01-17,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.9798428059395832,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
29.67,-13.9851,121.8769,1985-01-18,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.7298428059395832,0,0,1990,28.94015719406042,1985_to_1990,0,0,1,0
